date,y,price_index,promo_flag,holiday_flag,search_spend,social_spend,display_spend,email_spend,brand_burst_flag,search_spend_adstock,search_spend_sat,search_spend_ad,social_spend_ad,social_spend_sat,display_spend_ad,display_spend_sat,email_spend_ad,email_spend_sat,price_index_l1,promo_flag_l1,holiday_flag_l1
2021-01-02,103.27741139843864,99.3828606222666,0,1,55.61095691726116,34.69253731025635,19.65022255781099,6.128651075816534,0,87.0825084640399,1.3548171793864165,87.0825084640399,56.34602583555805,1.3236621628833374,32.255682440051395,1.275429221053418,9.71207974711168,1.1356057832833801,99.2571654674652,0.0,0.0
2021-01-03,112.84433692465888,100.4447865107128,0,1,56.60007022790687,33.19381997325983,20.723480389600148,6.36605923724808,0,108.84957530633082,1.3688019870455654,108.84957530633082,67.00143547459466,1.3366980868226246,40.07688985363099,1.2953791448632406,12.193307085515087,1.1660649617332313,99.3828606222666,0.0,1.0
2021-01-04,111.1524687354934,100.62068305278429,0,0,58.54739725059505,33.24902822190526,20.31734674412916,6.020051762631973,0,123.85714243439352,1.3763306042000978,123.85714243439352,73.44988950666206,1.3432649556194465,44.36348065630776,1.3041926687302137,13.336036013941026,1.177547904196792,100.4447865107128,0.0,1.0
2021-01-05,93.04061521352226,99.31004068172332,0,0,61.03131724422267,33.5085389313836,19.28884250318789,6.381188836220974,0,135.34560270485878,1.3812709978137192,135.34560270485878,77.57847263538083,1.34706150474137,45.90693089697254,1.3070855016639362,14.38281044458559,1.1870088381682693,100.62068305278429,0.0,0.0
2021-01-06,93.1848517370824,100.4694300173545,1,0,63.2915158770317,30.724071580711914,19.071698890111577,6.190972455729968,0,144.49887749994696,1.3847994271916408,144.49887749994696,77.27115516194041,1.346788711437209,46.6158574282951,1.3083699078260003,14.820658722481323,1.1907063994365934,99.31004068172332,0.0,0.0
2021-01-07,101.74050153972246,99.62708502887531,0,0,64.51971423125694,30.45361104643761,19.349043069831797,6.049300868876219,0,151.2190407312251,1.3871935766240635,151.2190407312251,76.81630414360185,1.346382163135758,47.31855752680886,1.3096168509441484,14.941696102365011,1.191703685562148,100.4694300173545,1.0,0.0
2021-01-08,103.3747883654702,100.01155362334022,0,0,65.71640832540672,30.474719170747868,18.85429463930608,6.354801848788849,0,156.44783276414176,1.3889539602833365,156.44783276414176,76.56450165690899,1.3461556509397306,47.24542915539139,1.3094882728420272,15.319819510207855,1.1947530554225447,99.62708502887531,0.0,0.0
2021-01-09,108.47995223121356,100.99186109105344,0,1,66.75572947209972,30.151995422091176,19.408248145301403,5.540303066258699,0,160.62442913058476,1.3903009138618474,160.62442913058476,76.09069641623657,1.3457265979496753,47.755505638536235,1.3103794698924742,14.732194772383412,1.1899708118967995,100.01155362334022,0.0,0.0
2021-01-10,105.33056130506915,100.56524106381606,0,1,64.56105412300563,28.93190980357116,18.825254261637337,6.338816996184191,0,160.9357116013565,1.3903992999496377,160.9357116013565,74.5863276533131,1.3443392025426115,47.47855764475908,1.3098972222785803,15.178133859614238,1.193621972679216,100.99186109105344,0.0,1.0
2021-01-11,111.39561868638434,100.55711039161554,0,0,65.9625004367248,28.12260703068945,19.44562665556869,6.430011603546128,0,162.5239273975387,1.390897087677907,162.5239273975387,72.8744036226773,1.3427120735071247,47.932761242424135,1.3106861124224687,15.53689191931467,1.1964598986634738,100.56524106381606,0.0,1.0
